id,the_odyssey,spider_man,tony,obsession,the_dog_stars,coyote_vs_acme
2,Have not seen it.,Loved it!,Have not seen it.,Loved it!,Have not seen it.,Loved it!
3,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
4,Have not seen it.,Have not seen it.,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.
5,Not for me.,Loved it!,Liked it.,Have not seen it.,Have not seen it.,Have not seen it.
6,Loved it!,Liked it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
7,Have not seen it.,Liked it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
8,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
9,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
10,Liked it.,Loved it!,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
11,It was okay.,Loved it!,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
12,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
13,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
14,Have not seen it.,Liked it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
15,Have not seen it.,Loved it!,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.
16,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
17,Liked it.,Liked it.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
18,Loved it!,It was okay.,Have not seen it.,Have not seen it.,Have not seen it.,Have not seen it.
19,Loved it!,Liked it.,Have not seen it.,Loved it!,Have not seen it.,Have not seen it.
20,Liked it.,It was okay.,It was okay.,Not for me.,It was okay.,It was okay.
21,Loved it!,It was okay.,Have not seen it.,Liked it.,Not for me.,Liked it.
